,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
1,R Chahar,1,1,3.0,0,27,1,27.0,9.0,18.0,0,0,0
2,A Joseph,57,54,162.0,4,1134,57,19.89,7.0,17.0,2,1,0
3,J Behrendorff,7,6,16.0,0,117,7,16.71,7.31,13.7,1,0,0
4,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,0
5,M Nabi,75,75,256.4,5,1839,69,26.65,7.16,22.3,3,0,0
6,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,0
7,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
8,S Kaul,3,3,9.4,0,84,4,21.0,8.68,14.5,0,0,0
9,S Sharma,54,49,196.0,2,2548,50,50.96,13.0,24.0,3,0,0
