,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
1,K Gowtham,46,41,164.0,1,1148,49,23.43,7.0,20.0,3,1,0
2,M Khan,19,11,31.0,0,222,9,24.66,7.16,20.6,0,0,0
3,A Khan,30,30,99.2,2,692,34,20.35,6.96,17.5,0,0,0
4,R Bishnoi,47,44,132.0,1,1056,40,26.4,8.0,20.0,0,1,0
5,S Narine,51,49,183.4,1,1105,52,21.25,6.01,21.1,1,0,0
6,U Yadav,7,7,25.0,0,219,9,24.33,8.76,16.6,0,0,0
7,T Southee,66,64,233.3,2,1954,75,26.05,8.36,18.6,0,1,0
