,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
1,N Coulter-Nile,28,27,97.0,1,802,34,23.58,8.26,17.1,1,0,0
2,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,0
3,R Chahar,1,1,3.0,0,27,1,27.0,9.0,18.0,0,0,0
4,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,0
5,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,0
6,D Sams,63,58,232.0,4,3944,71,55.55,17.0,20.0,3,0,0
7,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
8,A Nortje,52,47,188.0,4,1316,63,20.89,7.0,18.0,1,1,0
9,R Ashwin,46,46,171.0,2,1193,52,22.94,6.97,19.7,2,0,0
