Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,75,70,2633,94*,52.66,1907,138.07,0,24,2,247,71
RG Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120
MJ Guptill,83,80,2436,105,33.36,1810,134.58,2,15,2,215,113
Shoaib Malik,111,104,2263,75,30.58,1824,124.06,0,7,1,186,61
DA Warner,76,76,2079,100*,30.57,1476,140.85,1,15,5,203,86
EJG Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96
Mohammad Shahzad,65,65,1936,118*,31.22,1436,134.81,1,12,3,218,72
JP Duminy,81,75,1934,96*,38.68,1532,126.24,0,11,6,138,71
PR Stirling,72,71,1929,91,29.67,1401,137.68,0,16,8,233,59
Mohammad Hafeez,89,86,1908,86,24.46,1643,116.12,0,10,6,196,51
AJ Finch,58,58,1878,172,38.32,1200,156.5,2,11,4,182,90
LRPL Taylor,95,87,1743,63,25.63,1430,121.88,0,5,5,110,65
Umar Akmal,84,79,1690,94,26,1377,122.73,0,8,10,122,55
AB de Villiers,78,75,1672,79*,26.12,1237,135.16,0,10,5,140,60
H Masakadza,66,66,1662,93*,25.96,1418,117.2,0,11,1,151,65
AD Hales,60,60,1644,116*,31.01,1203,136.65,1,8,4,175,55
CH Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105
MS Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52
Tamim Iqbal,75,75,1613,103*,23.04,1383,116.63,1,6,6,174,41
MN Samuels,67,65,1611,89*,29.29,1386,116.23,0,10,0,144,69
SK Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58
GJ Maxwell,61,54,1576,145*,35.02,985,160,3,7,1,133,81
Shakib Al Hasan,76,76,1567,84,23.74,1266,123.77,0,9,5,163,33
C Munro,60,57,1546,109*,30.92,966,160.04,3,9,5,114,100
KS Williamson,57,55,1505,73*,31.35,1236,121.76,0,9,2,158,26
S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46
KJ O'Brien,90,83,1504,124,20.6,1124,133.8,1,3,10,117,69
Ahmed Shehzad,59,59,1471,111*,25.8,1282,114.74,1,7,2,157,33
Mahmudullah,83,76,1430,64*,23.83,1166,122.64,0,4,2,113,48
Shahid Afridi,99,91,1416,54*,17.92,944,150,0,4,8,103,73
Babar Azam,36,36,1405,97*,50.17,1102,127.49,0,12,0,139,20
KJ Coetzer,58,56,1386,89,25.66,1136,122,0,6,3,144,45
F du Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45
Mohammad Nabi,75,70,1316,89,22.3,902,145.89,0,4,4,83,78
DA Miller,72,62,1309,101*,29.75,935,140,1,2,0,91,57
HM Amla,44,44,1277,97*,33.6,967,132.05,0,8,2,146,26
Mushfiqur Rahim,84,76,1265,72*,20.07,1060,119.33,0,5,5,110,31
JC Buttler,66,58,1260,73*,26.8,912,138.15,0,7,3,102,53
RD Berrington,61,54,1247,100,28.34,967,128.95,1,3,6,117,36
GC Wilson,78,65,1239,65*,21.73,1185,104.55,0,3,4,105,20
Yuvraj Singh,58,51,1177,77*,28.02,863,136.38,0,8,1,77,74
MDKJ Perera,42,42,1171,84,27.88,867,135.06,0,11,0,114,41
NLTC Perera,79,70,1169,61,23.85,767,152.41,0,3,8,87,62
Asghar Afghan,66,60,1167,62,20.83,1102,105.89,0,3,4,69,58
KL Rahul,34,31,1138,110*,43.76,777,146.46,2,8,1,102,50
BN Cooper,51,48,1094,91*,28.05,890,122.92,0,7,5,96,36
WTS Porterfield,61,59,1079,72,20.35,971,111.12,0,3,5,120,23
KA Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61
AD Mathews,72,57,1055,81*,27.05,893,118.14,0,5,1,67,35
CS MacLeod,49,47,1042,74,26.05,905,115.13,0,7,4,93,21
Q de Kock,38,38,1018,79*,30.84,787,129.35,0,4,3,117,32
LMP Simmons,49,48,990,82*,24.14,848,116.74,0,6,6,92,37
