Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
A Stokes,7,7,23.2,0,152,5,30.4,6.51,28,0,0
T Hussain,4,4,9.3,0,48,5,9.6,5.05,11.4,0,0
U Master,6,5,13.1,0,106,5,21.2,8.05,15.8,0,0
W Viraliliu,10,9,20.2,0,164,5,32.8,8.06,24.4,0,0
S Ahmed,5,4,10,0,83,5,16.6,8.3,12,0,0
A Westphal,5,5,19,0,65,5,13,3.42,22.8,0,0
B Wheal,5,5,17.2,0,143,5,28.6,8.25,20.8,0,0
Y Haroon,4,4,13,1,72,5,14.4,5.53,15.6,0,0
Y Ali,9,5,9.5,0,52,5,10.4,5.28,11.8,0,0
A Hasan,5,5,14,0,148,4,37,10.57,21,0,0
A Jayed,3,3,11,0,106,4,26.5,9.63,16.5,0,0
A Hossain,8,5,10,1,79,4,19.75,7.9,15,0,0
S Ahmad,5,3,9,1,40,4,10,4.44,13.5,0,0
D Ajekun,6,6,11.1,0,76,4,19,6.8,16.7,0,0
M Aponso,3,3,10,0,79,4,19.75,7.9,15,0,0
A Ahmed,3,3,9,1,40,4,10,4.44,13.5,0,0
A Said,3,3,11,0,82,4,20.5,7.45,16.5,0,0
A Aspiotis,3,3,11,0,71,4,17.75,6.45,16.5,0,0
A Ahmed,3,3,10,2,46,4,11.5,4.6,15,0,0
R Avery,4,4,11,0,66,4,16.5,6,16.5,0,0
J Baker,4,4,13,0,107,4,26.75,8.23,19.5,0,0
H Banner,3,3,12,1,67,4,16.75,5.58,18,0,0
S Bau,23,10,14,0,79,4,19.75,5.64,21,0,0
T Braat,3,3,10,0,70,4,17.5,7,15,0,0
J Bulele,7,5,14.2,0,107,4,26.75,7.46,21.5,0,0
D Burgess,4,3,8.3,0,86,4,21.5,10.11,12.7,0,0
M Dai,9,9,25,0,157,4,39.25,6.28,37.5,0,0
I Danladi,3,3,9,0,52,4,13,5.77,13.5,0,0
K Dasan,3,2,8,0,52,4,13,6.5,12,0,0
R Emrit,4,4,16,0,156,4,39,9.75,24,0,0
S Goustis,3,3,9,1,42,4,10.5,4.66,13.5,0,0
J Hamoud,6,6,16,0,112,4,28,7,24,0,0
M Henriques,11,7,17,0,158,4,39.5,9.29,25.5,0,0
M Hunter,4,4,11.3,0,63,4,15.75,5.47,17.2,0,0
H Talat,14,6,6,0,54,4,13.5,9,9,0,0
A Ifill,6,6,18.3,1,151,4,37.75,8.16,27.7,0,0
I Bulbulia,3,3,10,0,59,4,14.75,5.9,15,0,0
R Inampud,3,3,12,0,68,4,17,5.66,18,0,0
D Jacobs,4,2,5,0,26,4,6.5,5.2,7.5,1,0
M Jones,8,7,15,0,116,4,29,7.73,22.5,0,0
S Kaul,3,3,9.4,0,84,4,21,8.68,14.5,0,0
S Kizilkaya,4,4,9,0,74,4,18.5,8.22,13.5,0,0
V Kohli,75,12,24.2,0,198,4,49.5,8.13,36.5,0,0
A Krishna,4,4,12,0,121,4,30.25,10.08,18,0,0
A Lark,5,4,10.5,0,55,4,13.75,5.07,16.2,0,0
T Lungameni,6,6,16,1,88,4,22,5.5,24,0,0
C MacLeod,49,11,23,0,174,4,43.5,7.56,34.5,0,0
M Miraz,13,13,36,0,330,4,82.5,9.16,54,0,0
K Mendon,6,5,8.4,0,78,4,19.5,9,13,0,0
M Ahsan,6,6,20,0,192,4,48,9.6,30,0,0
C Munro,60,12,19.4,0,186,4,46.5,9.45,29.5,0,0
N Shahzad,4,4,12.2,0,65,4,16.25,5.27,18.5,0,0
N Mangal,32,6,10,0,80,4,20,8,15,0,0
N Rahman,7,7,17,0,166,4,41.5,9.76,25.5,0,0
S Netravalkar,8,8,22.4,0,161,4,40.25,7.1,34,0,0
N Khan,34,5,14,0,83,4,20.75,5.92,21,0,0
G Ntambalika,3,3,9,0,56,4,14,6.22,13.5,0,0
R Patel,30,7,15,0,104,4,26,6.93,22.5,0,0
S Pillai,3,3,8.4,0,56,4,14,6.46,13,0,0
E Ringera,1,1,4,0,18,4,4.5,4.5,6,1,0
S Rossi,5,3,6.5,2,21,4,5.25,3.07,10.2,0,0
S Naqash,7,5,9,0,52,4,13,5.77,13.5,0,0
O Arthur,3,3,9,0,76,4,19,8.44,13.5,0,0
M Sarwar,5,4,10.4,0,99,4,24.75,9.28,16,0,0
A Sathya,3,3,11.3,0,76,4,19,6.6,17.2,0,0
L Shafeeg,3,3,11,0,76,4,19,6.9,16.5,0,0
N Shetty,2,2,8,0,42,4,10.5,5.25,12,0,0
L Sipamla,5,5,15.4,0,131,4,32.75,8.36,23.5,0,0
D Stovell,6,6,17.2,0,126,4,31.5,7.26,26,0,0
S Aziz,14,8,24.5,0,187,4,46.75,7.53,37.2,0,0
A Uniyal,3,3,9,1,59,4,14.75,6.55,13.5,0,0
U Ali,5,5,19,0,130,4,32.5,6.84,28.5,0,0
T Veillard,4,4,16,0,93,4,23.25,5.81,24,0,0
W Barkat,22,10,21.2,0,152,4,38,7.12,32,0,0
S Waththage,5,5,12,3,66,4,16.5,5.5,18,0,0
S Abbott,4,4,10,0,61,3,20.33,6.1,20,0,0
A Abioye,5,4,10,0,87,3,29,8.7,20,0,0
A Ahmadhel,3,3,10,0,75,3,25,7.5,20,0,0
S Appu,4,4,9,0,74,3,24.66,8.22,18,0,0
M Aslam,6,5,14,0,85,3,28.33,6.07,28,0,0
T Astle,3,3,8,0,69,3,23,8.62,16,0,0
V Ateak,4,3,11,0,94,3,31.33,8.54,22,0,0
G Bakiweyem,3,3,10,0,62,3,20.66,6.2,20,0,0
S Bantzas,1,1,3,0,12,3,4,4,6,0,0
F Behardien,38,3,5,0,27,3,9,5.4,10,0,0
P Bhart,5,4,12,1,68,3,22.66,5.66,24,0,0
