,Unnamed: 0,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
470,4,V Kohli,2010-2019,75,12,24.2,0,198,4,Jan-13,49.5,8.13,36.5,0,0,
471,5,A Krishna,2019-2019,4,4,12,0,121,4,Mar-27,30.25,10.08,18,0,0,
472,7,A Lark,2019-2019,5,4,10.5,0,55,4,Mar-20,13.75,5.07,16.2,0,0,
473,11,T Lungameni,2019-2019,6,6,16,1,88,4,Feb-16,22,5.5,24,0,0,
474,13,CS MacLeod,2009-2019,49,11,23,0,174,4,Feb-17,43.5,7.56,34.5,0,0,
475,16,Mehidy Hasan Miraz,2017-2018,13,13,36,0,330,4,Feb-31,82.5,9.16,54,0,0,
476,17,K Mendon,2019-2019,6,5,8.4,0,78,4,Mar-19,19.5,9,13,0,0,
477,18,Mohammad Ahsan,2019-2019,6,6,20,0,192,4,Feb-31,48,9.6,30,0,0,
478,22,C Munro,2012-2019,60,12,19.4,0,186,4,01-Dec,46.5,9.45,29.5,0,0,
479,24,Najjam Shahzad,2019-2019,4,4,12.2,0,65,4,Feb-16,16.25,5.27,18.5,0,0,
480,25,Nawroz Mangal,2010-2017,32,6,10,0,80,4,Mar-23,20,8,15,0,0,
481,26,Nazril Rahman,2019-2019,7,7,17,0,166,4,Feb-28,41.5,9.76,25.5,0,0,
482,27,SN Netravalkar,2019-2019,8,8,22.4,0,161,4,Feb-28,40.25,7.1,34,0,0,
483,29,Nizakat Khan,2014-2019,34,5,14,0,83,4,Mar-19,20.75,5.92,21,0,0,
484,31,GM Ntambalika,2019-2019,3,3,9,0,56,4,Feb-13,14,6.22,13.5,0,0,
485,34,RR Patel,2008-2019,30,7,15,0,104,4,Feb-19,26,6.93,22.5,0,0,
486,36,S Pillai,2019-2019,3,3,8.4,0,56,4,Mar-14,14,6.46,13,0,0,
487,37,EB Ringera,2019-2019,1,1,4,0,18,4,Apr-18,4.5,4.5,6,1,0,
488,38,S Rossi,2019-2019,5,3,6.5,2,21,4,Feb-15,5.25,3.07,10.2,0,0,
489,39,Sahir Naqash,2019-2019,7,5,9,0,52,4,02-Mar,13,5.77,13.5,0,0,
490,40,O Sam Arthur,2019-2019,3,3,9,0,76,4,Feb-21,19,8.44,13.5,0,0,
491,41,MM Sarwar,2019-2019,5,4,10.4,0,99,4,Feb-13,24.75,9.28,16,0,0,
492,42,A Sathya,2019-2019,3,3,11.3,0,76,4,Feb-32,19,6.6,17.2,0,0,
493,44,L Shafeeg,2019-2019,3,3,11,0,76,4,Mar-33,19,6.9,16.5,0,0,
494,46,NK Shetty,2019-2019,2,2,8,0,42,4,Mar-17,10.5,5.25,12,0,0,
495,47,L Sipamla,2019-2019,5,5,15.4,0,131,4,Feb-22,32.75,8.36,23.5,0,0,
496,49,DC Stovell,2019-2019,6,6,17.2,0,126,4,Feb-21,31.5,7.26,26,0,0,
497,1,Syed Aziz,2019-2019,14,8,24.5,0,187,4,Feb-33,46.75,7.53,37.2,0,0,
498,3,A Uniyal,2019-2019,3,3,9,1,59,4,Mar-17,14.75,6.55,13.5,0,0,
499,4,Usman Ali,2019-2019,5,5,19,0,130,4,Jan-21,32.5,6.84,28.5,0,0,
500,5,TCW Veillard,2019-2019,4,4,16,0,93,4,Jan-15,23.25,5.81,24,0,0,
501,7,Waqas Barkat,2014-2019,22,10,21.2,0,152,4,Feb-13,38,7.12,32,0,0,
502,8,SMK Waththage,2019-2019,5,5,12,3,66,4,03-Apr,16.5,5.5,18,0,0,
503,11,SA Abbott,2014-2019,4,4,10,0,61,3,Feb-14,20.33,6.1,20,0,0,
504,12,AS Abioye,2019-2019,5,4,10,0,87,3,Feb-26,29,8.7,20,0,0,
505,15,A Ahmadhel,2019-2019,3,3,10,0,75,3,Feb-16,25,7.5,20,0,0,
506,16,S Appu,2019-2019,4,4,9,0,74,3,Jan-21,24.66,8.22,18,0,0,
507,17,MNM Aslam,2019-2019,6,5,14,0,85,3,Jan-13,28.33,6.07,28,0,0,
508,18,TD Astle,2016-2019,3,3,8,0,69,3,Mar-28,23,8.62,16,0,0,
509,19,V Ateak,2019-2019,4,3,11,0,94,3,Feb-36,31.33,8.54,22,0,0,
510,21,G Bakiweyem,2019-2019,3,3,10,0,62,3,Feb-15,20.66,6.2,20,0,0,
511,22,S Bantzas,2019-2019,1,1,3,0,12,3,03-Dec,4,4,6,0,0,
512,23,F Behardien,2012-2018,38,3,5,0,27,3,Feb-15,9,5.4,10,0,0,
513,24,P Bhart,2019-2019,5,4,12,1,68,3,Feb-29,22.66,5.66,24,0,0,
514,25,PRP Boissevain,2019-2019,4,4,16,0,116,3,Jan-19,38.66,7.25,32,0,0,
515,27,PR Brown,2019-2019,4,4,13,0,128,3,Jan-29,42.66,9.84,26,0,0,
516,28,P Buccimazza,2019-2019,4,4,13,0,86,3,Feb-18,28.66,6.61,26,0,0,
517,29,N Buckle,2019-2019,3,3,10,0,76,3,Mar-26,25.33,7.6,20,0,0,
518,31,HL Carlyon,2019-2019,9,3,6,0,42,3,Mar-15,14,7,12,0,0,
519,32,MS Chapman,2014-2018,24,4,10,0,77,3,01-Oct,25.66,7.7,20,0,0,
520,33,M Chauhan,2019-2019,2,2,8,1,38,3,Feb-16,12.66,4.75,16,0,0,
521,35,M Cope,2019-2019,2,2,5,0,61,3,Feb-23,20.33,12.2,10,0,0,
522,36,BCJ Cutting,2013-2017,7,7,21,0,215,3,Jan-18,71.66,10.23,42,0,0,
523,37,TH David,2019-2019,12,9,22.2,0,202,3,Jan-18,67.33,9.04,44.6,0,0,
524,38,NS Dhaliwal,2019-2019,12,5,8,0,43,3,01-Nov,14.33,5.37,16,0,0,
525,39,SDJJ Dima,2019-2019,4,2,5,0,57,3,Mar-41,19,11.4,10,0,0,
526,40,S Dube,2019-2019,6,6,12.3,0,114,3,Mar-30,38,9.12,25,0,0,
527,42,L Evile,2019-2019,4,4,12,1,67,3,1/0,22.33,5.58,24,0,0,
528,46,P Florin,2019-2019,4,2,1.4,0,10,3,02-Mar,3.33,6,3.3,0,0,
529,47,BC Fortuin,2019-2019,2,2,7,0,51,3,Feb-19,17,7.28,14,0,0,
530,49,CJ Gannon,2019-2019,4,3,9,0,67,3,Feb-21,22.33,7.44,18,0,0,
531,5,Hayatullah Niazi,2019-2019,4,4,10,0,81,3,Jan-19,27,8.1,20,0,0,
532,6,J Hill,2019-2019,4,2,6,0,50,3,Feb-27,16.66,8.33,12,0,0,
533,7,J Hirschi,2019-2019,4,4,11,0,96,3,Feb-18,32,8.72,22,0,0,
534,8,Z Hoque,2019-2019,3,3,12,0,51,3,Jan-13,17,4.25,24,0,0,
535,9,JJ Huo,2019-2019,7,3,10,0,56,3,Mar-14,18.66,5.6,20,0,0,
536,10,Ijaz Hussain,2019-2019,3,3,9.5,0,89,3,Feb-19,29.66,9.05,19.6,0,0,
537,11,D Jakiel,2019-2019,2,2,7,0,44,3,Feb-27,14.66,6.28,14,0,0,
538,12,GSNFG Jayasuriya,2015-2019,16,10,21.5,0,202,3,01-Nov,67.33,9.25,43.6,0,0,
539,13,Kaleemullah,2017-2019,6,6,19,1,132,3,Feb-23,44,6.94,38,0,0,
540,14,Kaleem Shah,2019-2019,7,6,17,0,130,3,Feb-24,43.33,7.64,34,0,0,
541,17,P Kerai,2019-2019,6,5,11,0,82,3,Mar-15,27.33,7.45,22,0,0,
542,18,J Kila,2019-2019,12,9,17,0,99,3,01-May,33,5.82,34,0,0,
543,19,AC Kose,2019-2019,4,2,8,0,116,3,Feb-62,38.66,14.5,16,0,0,
544,21,CBRLS Kumara,2019-2019,3,3,12,0,97,3,Feb-24,32.33,8.08,24,0,0,
545,22,UKPW Kumaranayaka,2019-2019,3,3,12,0,102,3,Feb-26,34,8.5,24,0,0,
546,23,NCK Liyanage,2019-2019,6,5,14,0,100,3,Jan-19,33.33,7.14,28,0,0,
547,25,S Mahmood,2019-2019,3,3,10,0,115,3,Jan-20,38.33,11.5,20,0,0,
548,27,MSS Mandy,2019-2019,4,3,8,0,43,3,Feb-19,14.33,5.37,16,0,0,
549,29,TS Mills,2016-2018,5,5,19,1,129,3,Jan-27,43,6.78,38,0,0,
550,31,K Modise,2019-2019,3,2,5,0,41,3,Mar-18,13.66,8.2,10,0,0,
551,32,Mohammad Ghazanfar,2019-2019,5,5,14,0,85,3,02-Nov,28.33,6.07,28,0,0,
552,33,Mohammad Hasnain,2019-2019,4,4,16,0,137,3,Mar-37,45.66,8.56,32,0,0,
553,34,Mohammed Siraj,2017-2018,3,3,12,0,148,3,Jan-45,49.33,12.33,24,0,0,
554,35,Musa Shaheen,2019-2019,1,1,2.2,0,11,3,03-Nov,3.66,4.71,4.6,0,0,
555,37,A Nathwani,2019-2019,5,4,10,0,79,3,01-Sep,26.33,7.9,20,0,0,
556,38,MP O'Dowd,2015-2019,36,9,12.4,0,119,3,01-Jul,39.66,9.39,25.3,0,0,
557,39,HC Overdijk,2018-2019,4,3,8,0,72,3,Feb-23,24,9,16,0,0,
558,43,J Perman,2019-2019,2,2,8,0,41,3,Feb-18,13.66,5.12,16,0,0,
559,44,R Pisal,2019-2019,1,1,3,0,4,3,03-Apr,1.33,1.33,6,0,0,
560,45,D Pretorius,2017-2019,6,6,14,0,116,3,01-Dec,38.66,8.28,28,0,0,
561,47,Raja Adeel,2019-2019,3,3,11,0,36,3,Feb-15,12,3.27,22,0,0,
562,49,KB Ratilal,2019-2019,3,3,12,0,61,3,Feb-18,20.33,5.08,24,0,0,
563,0,WJR Robertson,2019-2019,6,6,18.1,1,101,3,01-Jul,33.66,5.55,36.3,0,0,
564,1,M Sert,2019-2019,4,4,10,0,93,3,Feb-38,31,9.3,20,0,0,
565,4,Shiraz Khan,2019-2019,6,6,20,0,140,3,Feb-35,46.66,7,40,0,0,
566,5,Shoaib Ali,2019-2019,5,5,15.3,0,129,3,Feb-25,43,8.32,31,0,0,
567,6,DJM Short,2018-2019,20,9,19,0,151,3,Jan-13,50.33,7.94,38,0,0,
568,8,Sikander Zulfiqar,2016-2019,11,7,10,0,79,3,01-Sep,26.33,7.9,20,0,0,
569,9,KM Silva,2019-2019,3,2,3,0,18,3,02-Jan,6,6,6,0,0,
570,10,M Simpson-Parker,2019-2019,3,3,5,0,40,3,02-Jun,13.33,8,10,0,0,
571,11,S Singh,2019-2019,4,4,11,0,110,3,Mar-32,36.66,10,22,0,0,
572,12,DC Smith,2019-2019,4,4,11,0,89,3,01-Aug,29.66,8.09,22,0,0,
573,13,A Srivastav,2019-2019,4,3,8,0,73,3,Feb-28,24.33,9.12,16,0,0,
574,14,H Ssenyondo,2019-2019,4,3,10,0,48,3,Mar-14,16,4.8,20,0,0,
575,16,Suhail Sadiq,2019-2019,2,2,6,0,45,3,Feb-13,15,7.5,12,0,0,
576,17,Syazrul Idrus,2019-2019,2,2,7,0,64,3,Feb-31,21.33,9.14,14,0,0,
577,18,Tahir Dar,2019-2019,4,4,14,0,128,3,Feb-31,42.66,9.14,28,0,0,
578,19,Tanveer Ahmed,2016-2017,5,5,13.3,0,116,3,Feb-29,38.66,8.59,27,0,0,
579,20,SR Taylor,2019-2019,8,5,13,1,70,3,02-Oct,23.33,5.38,26,0,0,
580,22,SF Tiai,2019-2019,4,4,11,0,82,3,Feb-16,27.33,7.45,22,0,0,
581,23,BM Tickner,2019-2019,3,3,12,0,109,3,Feb-25,36.33,9.08,24,0,0,
582,25,AJ Turner,2017-2019,11,3,6,0,42,3,02-Dec,14,7,12,0,0,
583,27,Vichanath Singh,2019-2019,4,4,16,1,90,3,Jan-15,30,5.62,32,0,0,
584,28,Virandeep Singh,2019-2019,12,8,17.2,0,135,3,Feb-15,45,7.78,34.6,0,0,
585,31,SG Whittingham,2018-2018,3,3,10,0,79,3,Feb-33,26.33,7.9,20,0,0,
586,32,S Wickramasekara,2019-2019,5,5,15.3,1,93,3,02-Feb,31,6,31,0,0,
587,35,Zaki Ul Hassan,2019-2019,3,3,9,0,56,3,01-Dec,18.66,6.22,18,0,0,
588,36,C Zavoiu,2019-2019,3,1,1,0,4,3,03-Apr,1.33,4,2,0,0,
589,38,Zulqarnain Haider,2019-2019,5,5,13,0,60,3,01-Jul,20,4.61,26,0,0,
590,39,Aamer Yamin,2015-2018,2,2,6,0,37,2,01-Dec,18.5,6.16,18,0,0,
591,40,Aaron Jones,2019-2019,8,3,7,0,28,2,01-Jun,14,4,21,0,0,
592,42,AG Achar,2019-2019,3,3,6,0,44,2,01-Sep,22,7.33,18,0,0,
593,43,Ahmed Hassan,2019-2019,11,5,7.3,0,81,2,01-Aug,40.5,10.8,22.5,0,0,
594,44,Ali Naqi,2019-2019,4,4,10,0,65,2,Feb-20,32.5,6.5,30,0,0,
595,46,Anique Uddin,2019-2019,6,2,2.3,0,14,2,02-Dec,7,5.6,7.5,0,0,
596,47,DNA Ankrah,2019-2019,4,4,12,1,85,2,Jan-21,42.5,7.08,36,0,0,
597,48,Apon Mustafizur,2019-2019,2,1,3,0,30,2,Feb-30,15,10,9,0,0,
598,49,Aqib Ilyas,2015-2019,22,4,9,0,59,2,01-Sep,29.5,6.55,27,0,0,
599,0,S Arachchige,2019-2019,4,4,6,0,42,2,Feb-15,21,7,18,0,0,
600,1,JC Archer,2019-2019,1,1,4,0,29,2,Feb-29,14.5,7.25,12,0,0,
601,2,Ashfaq Ahmed,2018-2019,12,2,6,0,34,2,Jan-14,17,5.66,18,0,0,
602,3,Atif Kamal,2019-2019,4,4,14,0,90,2,02-May,45,6.42,42,0,0,
603,4,Aziz Mohammad,2019-2019,3,3,12,0,84,2,Jan-18,42,7,36,0,0,
604,5,MO Bacarese,2019-2019,3,3,12,0,51,2,Jan-15,25.5,4.25,36,0,0,
605,7,JT Ball,2018-2018,2,2,7,0,83,2,Jan-39,41.5,11.85,21,0,0,
606,8,GG Banner,2019-2019,3,1,3.3,0,10,2,02-Oct,5,2.85,10.5,0,0,
607,9,W Barresi,2012-2019,42,3,5.4,0,49,2,01-Mar,24.5,8.64,17,0,0,
608,11,P Chandran,2019-2019,3,2,4,0,45,2,Jan-22,22.5,11.25,12,0,0,
609,12,FA Cossa,2019-2019,6,5,14,0,110,2,Jan-24,55,7.85,42,0,0,
610,14,DK Dahyabhai Ahir,2019-2019,2,2,3,0,27,2,02-Nov,13.5,9,9,0,0,
611,20,N Dipakkumar Patel,2019-2019,3,3,10,0,42,2,Feb-17,21,4.2,30,0,0,
612,21,K Dorji,2019-2019,2,2,7,0,69,2,Feb-45,34.5,9.85,21,0,0,
613,22,Ehsan Nawaz,2014-2017,5,5,7.4,0,79,2,Jan-22,39.5,10.3,23,0,0,
614,24,Fakhrul Mohon,2019-2019,4,4,14,2,85,2,Jan-21,42.5,6.07,42,0,0,
615,25,V Ganesan,2019-2019,4,4,9,1,44,2,01-Oct,22,4.88,27,0,0,
616,27,D Gim,2019-2019,6,4,6,0,65,2,Jan-18,32.5,10.83,18,0,0,
617,28,Hafez Farooq,2019-2019,4,1,2,0,14,2,Feb-14,7,7,6,0,0,
618,29,LHB Harrington-Myers,2019-2019,4,2,4,0,26,2,Feb-13,13,6.5,12,0,0,
619,32,Imran Ashraf,2019-2019,3,3,9,0,78,2,Feb-23,39,8.66,27,0,0,
620,35,J Jojo,2019-2019,7,5,17,0,98,2,Feb-25,49,5.76,51,0,0,
621,37,Junaid Sheikh,2019-2019,5,5,16,1,104,2,Jan-21,52,6.5,48,0,0,
622,39,D Kegasitswe,2019-2019,4,3,12,0,156,2,Jan-43,78,13,36,0,0,
623,41,AK Kitchen,2017-2018,5,3,6,0,46,2,01-Mar,23,7.66,18,0,0,
624,42,Kuldeep Lal,2019-2019,8,4,9,0,100,2,Feb-33,50,11.11,27,0,0,
625,46,Lucky Ali,2019-2019,2,2,7,1,40,2,Jan-19,20,5.71,21,0,0,
626,48,DSK Madushanka,2018-2018,2,2,5.1,0,62,2,Feb-23,31,12,15.5,0,0,
627,49,R Mahajan,2019-2019,3,3,10,0,93,2,Jan-18,46.5,9.3,30,0,0,
628,2,P Manning,2019-2019,6,4,8,0,53,2,02-Mar,26.5,6.62,24,0,0,
629,3,B Masaba,2019-2019,1,1,4,0,14,2,Feb-14,7,3.5,12,0,0,
630,4,H Masakadza,2006-2019,66,9,12,0,113,2,01-Apr,56.5,9.41,36,0,0,
631,6,B Mavuta,2018-2018,3,3,12,0,81,2,Jan-19,40.5,6.75,36,0,0,
632,7,Z McLaughlin,2019-2019,3,3,7.1,0,54,2,Feb-30,27,7.53,21.5,0,0,
633,9,Mohameed Taiwo,2019-2019,2,2,8,0,41,2,Jan-16,20.5,5.12,24,0,0,
634,10,Mohammad Adnan,2019-2019,5,5,17,0,120,2,Jan-27,60,7.05,51,0,0,
635,11,Mohsin Hub,2019-2019,4,3,9,0,39,2,Jan-14,19.5,4.33,27,0,0,
636,12,Muhammad Rafique,2019-2019,2,2,5,0,63,2,Jan-31,31.5,12.6,15,0,0,
637,13,S Murari,2019-2019,3,3,10,0,52,2,01-Oct,26,5.2,30,0,0,
638,14,LA Musiani,2019-2019,5,4,15,1,69,2,Jan-16,34.5,4.6,45,0,0,
639,17,R Ngarava,2019-2019,1,1,4,0,48,2,Feb-48,24,12,12,0,0,
640,18,F Nsubuga,2019-2019,3,3,8,0,46,2,Feb-19,23,5.75,24,0,0,
641,19,L Nussbaumer,2019-2019,1,1,4,0,44,2,Feb-44,22,11,12,0,0,
642,20,E Packard,2019-2019,4,4,11,0,79,2,01-Aug,39.5,7.18,33,0,0,
643,22,NMS Param,2019-2019,8,3,8,0,55,2,Feb-24,27.5,6.87,24,0,0,
644,23,HH Patel,2019-2019,7,5,13,0,104,2,Feb-13,52,8,39,0,0,
645,25,N Pathan,2019-2019,4,4,6,0,60,2,01-Nov,30,10,18,0,0,
646,27,R Powell,2017-2019,23,4,8,0,74,2,Jan-20,37,9.25,24,0,0,
647,28,A Pusthay,2019-2019,5,4,10,0,90,2,Feb-26,45,9,30,0,0,
648,29,S Rakshit,2019-2019,7,5,12.5,0,99,2,01-Nov,49.5,7.71,38.5,0,0,
649,30,S Ravikumar,2019-2019,3,3,6.2,0,56,2,01-Dec,28,8.84,19,0,0,
650,35,SI Runsewe,2019-2019,6,2,2.3,0,23,2,01-Apr,11.5,9.2,7.5,0,0,
651,37,Sadeeq Khan,2019-2019,3,3,12,0,63,2,Jan-21,31.5,5.25,36,0,0,
652,38,TK Saha,2019-2019,4,4,10,0,88,2,Jan-22,44,8.8,30,0,0,
653,39,Sajid Liaqat,2019-2019,2,2,8,0,72,2,Jan-30,36,9,24,0,0,
654,40,Sandeep Goud,2019-2019,12,2,6,0,48,2,Feb-36,24,8,18,0,0,
655,41,Saqib Zulfiqar,2018-2019,6,4,9,0,61,2,01-Apr,30.5,6.77,27,0,0,
656,42,Saqlain Ali,2019-2019,2,2,7,0,36,2,01-Dec,18,5.14,21,0,0,
657,43,Sarfaraz Ali,2019-2019,4,3,8,0,60,2,Feb-20,30,7.5,24,0,0,
658,44,P Sarraf,2019-2019,9,6,11,1,58,2,01-Mar,29,5.27,33,0,0,
659,46,Shaffeq Muhammad,2019-2019,2,2,7,1,21,2,02-Dec,10.5,3,21,0,0,
660,0,LA Simango,2019-2019,3,3,6.1,0,55,2,Feb-20,27.5,8.91,18.5,0,0,
661,1,OF Smith,2018-2018,2,2,7,0,78,2,Jan-38,39,11.14,21,0,0,
662,2,CB Sole,2017-2018,4,4,16,0,141,2,Feb-38,70.5,8.81,48,0,0,
663,3,AL Stephen,2019-2019,2,2,7,0,29,2,Feb-15,14.5,4.14,21,0,0,
664,4,MJ Swepson,2018-2018,1,1,4,0,37,2,Feb-37,18.5,9.25,12,0,0,
665,5,T Taylor,2019-2019,6,4,9,0,74,2,Jan-17,37,8.22,27,0,0,
666,9,T Turan,2019-2019,4,3,8.1,0,111,2,Jan-32,55.5,13.59,24.5,0,0,
667,10,S Vashisht,2019-2019,3,3,9,1,31,2,01-May,15.5,3.44,27,0,0,
668,12,Waqas Maqsood,2018-2018,1,1,1.5,0,21,2,Feb-21,10.5,11.45,5.5,0,0,
669,16,C Wright,2019-2019,6,4,7,0,53,2,Feb-34,26.5,7.57,21,0,0,
670,17,HN Ya France,2019-2019,6,6,13,0,82,2,01-Mar,41,6.3,39,0,0,
671,18,Zain ul Tashnam,2019-2019,3,2,8,1,35,2,Jan-16,17.5,4.37,24,0,0,
672,19,S Zargar,2019-2019,1,1,3,0,22,2,Feb-22,11,7.33,9,0,0,
