,Date,Team1Players,Team2Players,DreamTeamPlayers
10,2022-05-16,"D Warner,S Khan,M Marsh,L Yadav,R Pant,R Powell,A Patel,S Thakur,K Yadav,A Nortje,K Ahmed","J Bairstow,S Dhawan,P Rajapaksa,L Livingstone,M Agarwal,J Sharma,H Brar,R Dhawan,R Chahar,K Rabada,A Singh",
11,2022-05-15,"Y Jaiswal,J Buttler,S Samson,D Padikkal,R Parag,J Neesham,R Ashwin,T Boult,M Krishna,Y Chahal,O McCoy","Q Kock,K Rahul,A Badoni,D Hooda,K Pandya,M Stoinis,J Holder,P Chameera,M Khan,A Khan,R Bishnoi",
12,2022-05-15,"R Gaikwad,D Conway,M Ali,N Jagadeesan,S Dube,M Dhoni,M Santner,P Solanki,S Singh,M Pathirana,M Choudhary","W Saha,S Gill,M Wade,H Pandya,D Miller,R Tewatia,R Khan,R Kishore,A Joseph,Y Dayal,M Shami",
13,2022-05-14,"V Iyer,A Rahane,N Rana,S Iyer,S Billings,R Singh,A Russell,S Narine,U Yadav,T Southee,C Varun","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,W Sundar,S Singh,M Jansen,B Kumar,U Malik,T Natarajan",
14,2022-05-13,"J Bairstow,S Dhawan,P Rajapaksa,L Livingstone,M Agarwal,J Sharma,H Brar,R Dhawan,R Chahar,K Rabada,A Singh","V Kohli,F Plessis,R Patidar,M Lomror,G Maxwell,K Karthik,S Ahmed,H Patel,P Silva,M Siraj,J Hazlewood",
15,2022-05-12,"R Gaikwad,D Conway,M Ali,R Uthappa,A Rayudu,M Dhoni,S Dube,D Bravo,S Singh,M Theekshana,M Choudhary","I Kishan,R Sharma,D Sams,T Varma,T Stubbs,H Shokeen,T David,R Singh,J Bumrah,R Meredith,K Kartikeya",
16,2022-05-11,"Y Jaiswal,J Buttler,R Ashwin,D Padikkal,S Samson,R Parag,H Dussen,T Boult,M Krishna,Y Chahal,K Sen","K Bharat,D Warner,M Marsh,R Pant,R Powell,L Yadav,A Patel,S Thakur,K Yadav,A Nortje,C Sakariya",
17,2022-05-10,"W Saha,S Gill,M Wade,H Pandya,D Miller,R Tewatia,R Khan,R Kishore,A Joseph,Y Dayal,M Shami","Q Kock,K Rahul,D Hooda,K Sharma,K Pandya,A Badoni,M Stoinis,J Holder,M Khan,P Chameera,A Khan",
18,2022-05-09,"V Iyer,A Rahane,N Rana,S Iyer,A Russell,R Singh,S Jackson,P Cummins,S Narine,T Southee,C Varun","R Sharma,I Kishan,T Varma,R Singh,T David,K Pollard,D Sams,M Ashwin,K Kartikeya,J Bumrah,R Meredith",
19,2022-05-08,"R Gaikwad,D Conway,S Dube,A Rayudu,M Dhoni,M Ali,R Uthappa,D Bravo,S Singh,M Theekshana,M Choudhary","D Warner,K Bharat,M Marsh,R Pant,R Powell,R Patel,A Patel,S Thakur,K Yadav,A Nortje,K Ahmed",
20,2022-05-08,"V Kohli,F Plessis,R Patidar,G Maxwell,K Karthik,M Lomror,S Ahmed,P Silva,H Patel,J Hazlewood,M Siraj","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,J Suchith,S Singh,K Tyagi,B Kumar,U Malik,F Farooqi",
21,2022-05-07,"Q Kock,K Rahul,D Hooda,K Pandya,A Badoni,M Stoinis,J Holder,P Chameera,A Khan,M Khan,R Bishnoi","B Indrajith,A Finch,S Iyer,N Rana,R Singh,A Russell,S Narine,A Roy,S Mavi,T Southee,H Rana",
22,2022-05-07,"J Bairstow,S Dhawan,P Rajapaksa,M Agarwal,J Sharma,L Livingstone,R Dhawan,K Rabada,R Chahar,A Singh,S Sharma","Y Jaiswal,J Buttler,S Samson,D Padikkal,S Hetmyer,R Parag,R Ashwin,T Boult,M Krishna,Y Chahal,K Sen",
23,2022-05-06,"I Kishan,R Sharma,S Yadav,T Varma,K Pollard,T David,D Sams,M Ashwin,K Kartikeya,J Bumrah,R Meredith","W Saha,S Gill,H Pandya,B Sudharsan,D Miller,R Tewatia,R Khan,P Sangwan,L Ferguson,A Joseph,M Shami",
24,2022-05-05,"M Singh,D Warner,M Marsh,R Pant,R Powell,L Yadav,R Patel,S Thakur,K Yadav,A Nortje,K Ahmed","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,S Singh,S Abbott,S Gopal,K Tyagi,B Kumar,U Malik",
25,2022-05-04,"V Kohli,F Plessis,G Maxwell,M Lomror,R Patidar,K Karthik,P Silva,S Ahmed,H Patel,M Siraj,J Hazlewood","R Gaikwad,D Conway,R Uthappa,A Rayudu,M Ali,R Jadeja,M Dhoni,D Pretorius,S Singh,M Theekshana,M Choudhary",
26,2022-05-03,"W Saha,S Gill,B Sudharsan,H Pandya,D Miller,R Tewatia,R Khan,P Sangwan,L Ferguson,A Joseph,M Shami","J Bairstow,S Dhawan,P Rajapaksa,L Livingstone,M Agarwal,J Sharma,R Dhawan,K Rabada,R Chahar,A Singh,S Sharma",
27,2022-05-02,"J Buttler,D Padikkal,S Samson,K Nair,R Parag,S Hetmyer,R Ashwin,T Boult,M Krishna,Y Chahal,K Sen","B Indrajith,A Finch,S Iyer,N Rana,R Singh,A Roy,A Russell,S Narine,U Yadav,T Southee,S Mavi",
28,2022-05-01,"R Gaikwad,D Conway,M Dhoni,R Jadeja,R Uthappa,A Rayudu,S Singh,M Santner,D Pretorius,M Choudhary,M Theekshana","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,S Singh,W Sundar,M Jansen,B Kumar,T Natarajan,U Malik",
29,2022-05-01,"Q Kock,K Rahul,D Hooda,M Stoinis,K Pandya,A Badoni,J Holder,M Khan,K Gowtham,P Chameera,R Bishnoi","P Shaw,D Warner,M Marsh,R Pant,L Yadav,R Powell,A Patel,S Thakur,K Yadav,M Rahman,C Sakariya",
30,2022-04-30,"J Buttler,D Padikkal,S Samson,D Mitchell,S Hetmyer,R Parag,R Ashwin,T Boult,M Krishna,Y Chahal,K Sen","R Sharma,I Kishan,S Yadav,T Varma,K Pollard,T David,D Sams,H Shokeen,K Kartikeya,J Bumrah,R Meredith",
