Date,Team1Players,Team2Players
25-04-2022,"M Agarwal,S Dhawan,P Rajapaksa,L Livingstone,J Bairstow,J Sharma,R Dhawan,K Rabada,R Chahar,A Singh,S Sharma","R Gaikwad,R Uthappa,M Santner,S Dube,A Rayudu,R Jadeja,M Dhoni,D Pretorius,D Bravo,M Choudhary,M Theekshana"
24-04-2022,"Q Kock,K Rahul,M Pandey,M Stoinis,K Pandya,D Hooda,A Badoni,J Holder,P Chameera,R Bishnoi,M Khan","I Kishan,R Sharma,D Brevis,S Yadav,T Varma,K Pollard,D Sams,J Unadkat,H Shokeen,J Bumrah,R Meredith"
23-04-2022,"F Plessis,A Rawat,V Kohli,G Maxwell,S Prabhudessai,S Ahmed,K Karthik,H Patel,P Silva,J Hazlewood,M Siraj","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,S Singh,J Suchith,B Kumar,M Jansen,T Natarajan,U Malik"
23-04-2022,"W Saha,S Gill,H Pandya,D Miller,R Tewatia,R Khan,A Manohar,L Ferguson,A Joseph,Y Dayal,M Shami","S Billings,S Narine,S Iyer,N Rana,R Singh,V Iyer,A Russell,S Mavi,U Yadav,T Southee,C Varun"
22-04-2022,"J Buttler,D Padikkal,S Samson,S Hetmyer,R Parag,K Nair,R Ashwin,T Boult,O McCoy,M Krishna,Y Chahal","P Shaw,D Warner,S Khan,R Pant,L Yadav,A Patel,S Thakur,R Powell,K Yadav,M Rahman,K Ahmed"
21-04-2022,"R Sharma,I Kishan,D Brevis,S Yadav,T Varma,H Shokeen,K Pollard,D Sams,J Unadkat,R Meredith,J Bumrah","R Gaikwad,R Uthappa,M Santner,A Rayudu,S Dube,R Jadeja,M Dhoni,D Pretorius,D Bravo,M Choudhary,M Theekshana"
20-04-2022,"M Agarwal,S Dhawan,J Bairstow,L Livingstone,J Sharma,M Khan,K Rabada,N Ellis,R Chahar,A Singh,V Arora","P Shaw,D Warner,S Khan,R Pant,R Powell,L Yadav,S Thakur,A Patel,K Yadav,M Rahman,K Ahmed"
19-04-2022,"A Rawat,F Plessis,V Kohli,G Maxwell,S Prabhudessai,S Ahmed,K Karthik,H Patel,P Silva,J Hazlewood,M Siraj","Q Kock,K Rahul,M Pandey,K Pandya,D Hooda,A Badoni,M Stoinis,J Holder,P Chameera,R Bishnoi,A Khan"
18-04-2022,"J Buttler,D Padikkal,S Samson,S Hetmyer,R Parag,K Nair,R Ashwin,T Boult,O McCoy,M Krishna,Y Chahal","A Finch,S Narine,S Iyer,N Rana,A Russell,V Iyer,S Jackson,S Mavi,P Cummins,U Yadav,C Varun"
17-04-2022,"R Gaikwad,R Uthappa,M Ali,A Rayudu,S Dube,R Jadeja,M Dhoni,D Bravo,C Jordan,M Theekshana,M Choudhary","W Saha,S Gill,V Shankar,A Manohar,D Miller,R Tewatia,R Khan,A Joseph,L Ferguson,M Shami,Y Dayal"
