,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,39.0,34.0,136.0,3.0,1904.0,33.0,57.7,14.0,25.0,0.0,0.0,1
1,A Patel,2.0,2.0,6.0,0.0,45.0,1.0,45.0,7.5,36.0,0.0,0.0,1
2,K Rabada,21.0,21.0,77.2,0.0,648.0,28.0,23.14,8.37,16.5,0.0,0.0,1
3,M Nabi,75.0,75.0,256.4,5.0,1839.0,69.0,26.65,7.16,22.3,3.0,0.0,1
4,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,0
5,B Kumar,43.0,43.0,154.2,2.0,1088.0,41.0,26.53,7.04,22.5,0.0,1.0,1
6,S Sharma,61.0,57.0,171.0,0.0,1026.0,45.0,22.8,6.0,23.0,1.0,0.0,1
7,S Kaul,3.0,3.0,9.4,0.0,84.0,4.0,21.0,8.68,14.5,0.0,0.0,1
