,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Bawa,39.0,34.0,102.0,4.0,1734.0,34.0,51.0,17.0,18.0,1.0,1.0,0
1,M Khan,19.0,11.0,31.0,0.0,222.0,9.0,24.66,7.16,20.6,0.0,0.0,0
2,H Brar,42.0,37.0,148.0,1.0,1184.0,44.0,26.91,8.0,20.0,0.0,1.0,0
3,O Smith,2.0,2.0,7.0,0.0,78.0,2.0,39.0,11.14,21.0,0.0,0.0,1
4,R Chahar,1.0,1.0,3.0,0.0,27.0,1.0,27.0,9.0,18.0,0.0,0.0,1
5,K Rabada,21.0,21.0,77.2,0.0,648.0,28.0,23.14,8.37,16.5,0.0,0.0,1
6,S Narine,51.0,49.0,183.4,1.0,1105.0,52.0,21.25,6.01,21.1,1.0,0.0,1
7,T Southee,66.0,64.0,233.3,2.0,1954.0,75.0,26.05,8.36,18.6,0.0,1.0,1
8,U Yadav,7.0,7.0,25.0,0.0,219.0,9.0,24.33,8.76,16.6,0.0,0.0,1
9,S Mavi,45.0,41.0,123.0,0.0,984.0,58.0,16.97,8.0,13.0,0.0,0.0,0
