,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,60.0,56.0,168.0,4.0,2016.0,42.0,48.0,12.0,24.0,3.0,0.0,0
1,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,0
2,M Shami,8.0,8.0,27.4,0.0,275.0,10.0,27.5,9.93,16.6,0.0,0.0,1
3,L Ferguson,8.0,8.0,31.0,0.0,222.0,14.0,15.85,7.16,13.2,0.0,0.0,1
4,Y Dayal,55.0,52.0,156.0,1.0,2340.0,42.0,55.71,15.0,22.0,0.0,0.0,1
5,R Ashwin,46.0,46.0,171.0,2.0,1193.0,52.0,22.94,6.97,19.7,2.0,0.0,0
6,J Neesham,18.0,16.0,37.4,0.0,323.0,13.0,24.84,8.57,17.3,0.0,0.0,0
7,Y Chahal,36.0,36.0,140.3,1.0,1139.0,52.0,21.9,8.1,16.2,2.0,1.0,1
8,K Sen,37.0,33.0,132.0,1.0,1056.0,30.0,35.2,8.0,26.0,0.0,1.0,0
