,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,40.0,37.0,111.0,0.0,1443.0,54.0,26.72,13.0,12.0,0.0,1.0,0
1,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,1
2,R Kishore,41.0,36.0,144.0,4.0,1440.0,35.0,41.14,10.0,25.0,1.0,1.0,0
3,L Ferguson,8.0,8.0,31.0,0.0,222.0,14.0,15.85,7.16,13.2,0.0,0.0,0
4,Y Dayal,48.0,45.0,180.0,3.0,1620.0,55.0,29.45,9.0,20.0,1.0,1.0,0
5,M Shami,8.0,8.0,27.4,0.0,275.0,10.0,27.5,9.93,16.6,0.0,0.0,0
6,S Ahmed,5.0,4.0,10.0,0.0,83.0,5.0,16.6,8.3,12.0,0.0,0.0,1
7,H Patel,7.0,5.0,13.0,0.0,104.0,2.0,52.0,8.0,39.0,0.0,0.0,0
8,J Hazlewood,46.0,41.0,123.0,0.0,861.0,30.0,28.7,7.0,25.0,0.0,1.0,1
9,S Kaul,3.0,3.0,9.4,0.0,84.0,4.0,21.0,8.68,14.5,0.0,0.0,0
