,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46.0,46.0,171.0,2.0,1193.0,52.0,22.94,6.97,19.7,2.0,0.0,0
1,T Boult,27.0,27.0,98.5,1.0,854.0,39.0,21.89,8.64,15.2,1.0,0.0,1
2,O McCoy,2.0,1.0,3.0,0.0,44.0,1.0,44.0,14.66,18.0,0.0,0.0,0
3,Y Chahal,36.0,36.0,140.3,1.0,1139.0,52.0,21.9,8.1,16.2,2.0,1.0,1
4,R Tewatia,63.0,59.0,236.0,1.0,1416.0,51.0,27.76,6.0,28.0,3.0,0.0,0
5,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,1
6,R Kishore,61.0,58.0,232.0,1.0,3248.0,66.0,49.21,14.0,21.0,0.0,1.0,1
7,L Ferguson,8.0,8.0,31.0,0.0,222.0,14.0,15.85,7.16,13.2,0.0,0.0,0
8,Y Dayal,52.0,47.0,141.0,0.0,2256.0,34.0,66.35,16.0,25.0,3.0,1.0,0
9,M Shami,8.0,8.0,27.4,0.0,275.0,10.0,27.5,9.93,16.6,0.0,0.0,1
